Class,Fitness,Battle Complexity,Rating
Barbarian,31.05625,13.5625,32.43438715
Bard,34.26011458,80.55057292,-31.34982118
Cleric,32.00885417,58.63541667,-11.68592535
Druid,29.36041667,53.34166667,-9.040612847
Fighter,29.95,14,30.89063715
Monk,29.0375,21.875,22.10313715
Paladin,42.8965625,107.4828125,-36.58093924
Ranger,31.2375,48.85,-2.671862847
Rogue,20.86875,7.6875,13.18125
Sorceror,42.4265625,84.7546875,-34.37907639
Warlock,20.55,13.5,-56.25563889
Wizard,27.5375,46.2375,-49.26813889
Averages,30.93250087,45.87313802,-11.05188368
